0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:57:51 +0800] "POST /ch20/adminGoods/addGoods?updateAct=update HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:07 +0800] "GET /ch20/adminGoods/selectAGoods?id=13&act=updateAgoods HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:12 +0800] "POST /ch20/adminGoods/addGoods?updateAct=update HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:17 +0800] "GET /ch20/ HTTP/1.1" 200 12601
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:17 +0800] "GET /ch20/logos/20190923175019056.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:17 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:17 +0800] "GET /ch20/logos/20190923174920455.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:17 +0800] "GET /ch20/logos/20190923175128104.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:17 +0800] "GET /ch20/logos/20190923174959176.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:20 +0800] "GET /ch20/goodsDetail?id=13 HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:36 +0800] "GET /ch20/adminGoods/selectAGoods?id=13&act=updateAgoods HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:47 +0800] "POST /ch20/adminGoods/addGoods?updateAct=update HTTP/1.1" 200 3387
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:58:50 +0800] "GET /ch20/adminGoods/selectAGoods?id=13 HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:59:00 +0800] "GET /ch20/adminGoods/selectAGoods?id=13&act=updateAgoods HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:59:06 +0800] "POST /ch20/adminGoods/addGoods?updateAct=update HTTP/1.1" 200 3387
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:59:10 +0800] "GET /ch20/adminGoods/selectAGoods?id=13 HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:59:16 +0800] "GET /ch20/adminGoods/selectAGoods?id=13 HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:59:20 +0800] "GET /ch20/adminGoods/selectAGoods?id=13&act=updateAgoods HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:59:22 +0800] "POST /ch20/adminGoods/addGoods?updateAct=update HTTP/1.1" 200 3387
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:59:24 +0800] "GET /ch20/adminGoods/selectAGoods?id=13 HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [23/Sep/2019:18:00:40 +0800] "GET /ch20/adminType/toDeleteType HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [23/Sep/2019:18:00:44 +0800] "GET /ch20/adminType/deleteType?id=15 HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [23/Sep/2019:18:00:48 +0800] "GET /ch20/adminType/deleteType?id=15 HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [23/Sep/2019:18:01:02 +0800] "GET /ch20/adminType/toAddType HTTP/1.1" 200 1192
